age,default,balance,housing,loan,day,duration,campaign,pdays,previous,deposit,previously_contacted,month_num,balance_negative,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,contact_telephone,contact_unknown,poutcome_other,poutcome_success,poutcome_unknown
1.491504880292054,0,0.6135304483580997,1,0,-1.2657455558897757,2.059302149925757,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1.2396756668140116,0,-0.7032671055804178,0,0,-1.2657455558897757,3.3577130790332945,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
-0.01947040057620028,0,-0.001318888184993992,1,0,-1.2657455558897757,3.1194164849853223,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
1.1557325956546642,0,0.6897419691038885,1,0,-1.2657455558897757,0.6447980083333108,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
1.0717895244953168,0,-0.6236174711167738,0,0,-1.2657455558897757,0.9319759550065072,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
0.06447267058314718,0,-0.7290529584643314,1,1,-1.2657455558897757,0.5928615711690093,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1.2396756668140116,0,-0.2534472274943707,1,1,-1.1469858207168955,2.5450605916389297,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1.5754479514514015,0,-0.4167576290924897,1,0,-1.1469858207168955,2.0226411354568383,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
-0.35524268521359015,0,-0.7284799395113555,1,0,-1.1469858207168955,0.733395459966531,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
-1.1107303256477175,0,2.1876135121827764,1,0,-1.1469858207168955,2.838348707390279,0.3368791129257682,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
-0.2712996140542427,0,-0.6717510631667457,1,0,-1.0282260855440155,1.2772005079221582,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
-0.9428441833290224,0,-0.5519901019947918,1,0,-1.0282260855440155,3.67238678655818,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
-1.0267872544883698,0,-0.6150221868221359,1,1,-1.0282260855440155,3.67238678655818,0.866341892210114,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
0.40024495522053705,0,-0.4654642400954375,1,0,-1.0282260855440155,2.2426072222703506,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
-0.8589011121696749,0,-0.32622063452230443,1,0,-0.9094663503711354,1.7568487805571777,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
-0.5231288275322851,0,1.4696207641040289,1,0,-0.9094663503711354,2.1876157005669725,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
-0.7749580410103275,0,-0.3789383781960832,1,0,-0.9094663503711354,0.5287047958484016,0.3368791129257682,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0.6520741686985795,0,-0.7336371100881381,1,0,-0.9094663503711354,2.2945436594346518,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
-0.01947040057620028,0,-0.6975369160506593,1,0,-0.9094663503711354,2.2975987439737287,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0.6520741686985795,0,-0.6327857743643875,1,1,-0.9094663503711354,0.443162428754258,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
-1.1107303256477175,0,-0.27923308037828426,1,0,-0.9094663503711354,0.22625142647982238,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0.14841574174249464,0,0.4553772173367634,1,0,-0.9094663503711354,1.1855479717498614,-0.7220464456429234,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
0.14841574174249464,0,-0.5067216047096992,1,0,-0.9094663503711354,3.67238678655818,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0.14841574174249464,0,-0.8390725974356957,1,0,-0.9094663503711354,2.2975987439737287,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
-0.35524268521359015,0,-0.5107327373805302,1,0,-0.9094663503711354,1.8851623311983932,-0.19258366635857763,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
-0.5231288275322851,0,-0.7061322003452971,1,0,-0.7907066151982554,0.7608912208182199,0.866341892210114,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
-0.8589011121696749,0,-0.7164465414988626,1,0,-0.7907066151982554,0.35150989258196125,0.3368791129257682,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
0.14841574174249464,0,-0.7273339016054038,1,0,-0.7907066151982554,1.7140775970101059,0.3368791129257682,-0.5764392511361042,-0.5060160097701082,1,0,-0.46287434333604394,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
